x_mm,y_mm,z_mm
885.6487893661713,-91.39860323119336,0.0
885.3369826225339,-92.34714008667291,0.0
885.004507392148,-93.28863100983779,0.0
884.6513629661588,-94.22256536478314,0.0
884.2775905198505,-95.14843687942235,0.0
883.8832736390651,-96.06574694440963,0.0
883.4685384066195,-96.97400793130979,0.0
883.033553035076,-97.87274646934736,0.0
882.5785270141678,-98.76150660481778,0.0
882.1037096013313,-99.63985268192195,0.0
881.6093876954053,-100.50737186228471,0.0
881.0958833352845,-101.36367632319035,0.0
880.5635509086444,-102.20840511729426,0.0
880.0127741284286,-103.04122567230007,0.0
879.4439628378118,-103.86183491909097,0.0
878.8575497052348,-104.66996004678798,0.0
878.2539868698505,-105.46535889258578,0.0
877.6337425945424,-106.24781998263114,0.0
876.9972979789175,-107.01716224735864,0.0
876.3451437786863,-107.77323444042446,0.0
875.6777773710328,-108.515914294579,0.0
874.9956998982913,-109.24510745051508,0.0
874.2994136148735,-109.96074619599935,0.0
873.5894194552288,-110.66278805257207,0.0
872.866214833865,-111.35121424601707,0.0
872.1302916848865,-112.02602809758694,0.0
871.3821347592631,-112.68725338902675,0.0
870.6222201729956,-113.33493273335121,0.0
869.8510141722315,-113.96912595003393,0.0
869.0689720994209,-114.58990846026015,0.0
868.2765375480336,-115.19736971940134,0.0
867.4741416919576,-115.79161170081488,0.0
866.6622027747771,-116.3727474421988,0.0
865.8411257437924,-116.94089966300015,0.0
865.0113020136573,-117.49619945894864,0.0
864.1731093448582,-118.03878507764644,0.0
863.3269118228457,-118.56880077729984,0.0
862.4730599243958,-119.0863957691094,0.0
861.6118906586723,-119.5917232425436,0.0
860.743727771445,-120.08493947166616,0.0
859.8688820019071,-120.56620299987259,0.0
858.9876513825689,-121.035673899752,0.0
858.1003215736916,-121.49351310434878,0.0
857.2071662247225,-121.93988180574529,0.0
856.3084473551003,-122.37494091548662,0.0
855.4044157467296,-122.79885057622974,0.0
854.4953113437098,-123.21176972331095,0.0
853.5813636588198,-123.61385569736666,0.0
852.6627921827871,-124.00526390467934,0.0
851.7398067930941,-124.38614752117178,0.0
850.812608159554,-124.75665723618644,0.0
849.8813881443598,-125.1169410323935,0.0
848.9463301947521,-125.46714399838301,0.0
848.0076097268088,-125.80740817072282,0.0
847.0653944991957,-126.1378724024859,0.0
846.1198449756168,-126.45867225560144,0.0
845.1711146779114,-126.76993991360558,0.0
844.2193505217436,-127.07180411499236,0.0
843.2646931469217,-127.3643901009001,0.0
842.307277230458,-127.64781957911667,0.0
841.3472317887977,-127.92221070045697,0.0
840.3846804693393,-128.18767804600694,0.0
839.4197418244402,-128.4443326257084,0.0
