x_mm,y_mm,z_mm
233.39044413995333,-58.46698927273767,0.0
234.16445508702657,-57.83593858461509,0.0
234.9378959030505,-57.204189249761974,0.0
235.71076935431063,-56.57174593442547,0.0
236.48307818545246,-55.938613255674724,0.0
237.254825119681,-55.304795782072624,0.0
238.0260128589586,-54.67029803433614,0.0
238.79664408420143,-54.0351244859852,0.0
239.5667214554722,-53.39927956398152,0.0
240.336247612173,-52.7627676493557,0.0
241.10522517323474,-52.12559307782439,0.0
241.8736567373051,-51.4877601403977,0.0
242.64154488293548,-50.84927308397467,0.0
243.40889216876457,-50.21013611193135,0.0
244.17570113370084,-49.570353384696766,0.0
244.94197429710337,-48.929929020321524,0.0
245.7077141589607,-48.28886709503522,0.0
246.47292320006684,-47.64717164379631,0.0
247.23760388219813,-47.00484666083226,0.0
248.00175864828708,-46.361896100173546,0.0
248.76538992259756,-45.718323876179234,0.0
249.52850011089694,-45.07413386405479,0.0
250.29109160062706,-44.42932990036116,0.0
251.0531667610722,-43.783915783515795,0.0
251.81472794352754,-43.13789527428467,0.0
252.57577748146326,-42.491272096268176,0.0
253.33631769068847,-41.84404993637721,0.0
254.09635086951354,-41.19623244530306,0.0
254.85587929890897,-40.547823237979266,0.0
255.61490524266497,-39.89882589403594,0.0
256.37343094754755,-39.249243958247106,0.0
257.1314586434533,-38.59908094097133,0.0
257.8889905435633,-37.94834031858469,0.0
258.6460288444947,-37.29702553390717,0.0
259.4025757264503,-36.64513999662304,0.0
260.15863335336803,-35.992687083693376,0.0
260.91420387306687,-35.339670139763605,0.0
261.6692894173929,-34.68609247756347,0.0
262.423892102363,-34.03195737830173,0.0
263.17801402830696,-33.37726809205412,0.0
263.93165728000827,-32.72202783814588,0.0
264.68482392684336,-32.06623980552782,0.0
265.43751602292014,-31.409907153147337,0.0
266.1897356072133,-30.753033010313082,0.0
266.94148470369987,-30.09562047705466,0.0
267.6927653214921,-29.43767262447658,0.0
268.4435794549704,-28.77919249510683,0.0
269.19392908391336,-28.120183103240286,0.0
269.94381617362694,-27.460647435277235,0.0
270.6932426757702,-26.80058844944146,0.0
271.4422105255592,-26.14000907868395,0.0
272.19072164649833,-25.478912226948616,0.0
272.9387779472665,-24.817300772342087,0.0
273.68638132269655,-24.155177566692924,0.0
274.4335336538972,-23.49254543586085,0.0
275.18023680837246,-22.829407180041493,0.0
275.9264926401406,-22.165765574066583,0.0
276.6723029898522,-21.50162336769961,0.0
277.41766968490504,-20.836983285927783,0.0
278.1625945395603,-20.17184802924893,0.0
278.90707935505645,-19.506220273954543,0.0
279.6511259197209,-18.84010267240937,0.0
280.39473600908275,-18.17349785332577,0.0
281.1379113859817,-17.50640842203525,0.0
281.88065380067883,-16.83883696075526,0.0
282.6229649909634,-16.17078602885281,0.0
283.36484668226024,-15.502258163103964,0.0
284.1063005877354,-14.833255877950048,0.0
284.8473284084015,-14.163781665749205,0.0
285.5879318332203,-13.493837997026015,0.0
286.32811253920636,-12.823427320716064,0.0
287.0678721915275,-12.152552064408312,0.0
287.80721244360626,-11.48121463458275,0.0
288.54613493721865,-10.80941741684632,0.0
289.28464130259283,-10.137162776164107,0.0
290.02273315850675,-9.46445305708797,0.0
290.76041211238385,-8.791290583982313,0.0
291.4976797603891,-8.11767766124633,0.0
292.2345376875234,-7.443616573532806,0.0
292.9709874677166,-6.76910958596509,0.0
293.7070306639206,-6.0941589443497035,0.0
294.44266882820057,-5.418766875387143,0.0
295.1779035018257,-4.742935586879132,0.0
295.91273621535896,-4.066667267933667,0.0
296.64716848874593,-3.3899640891665292,0.0
297.38120183140234,-2.712828202901108,0.0
298.11483774230237,-2.0352617433637588,0.0
298.84807771006285,-1.3572668268793016,0.0
299.5809232133069,-0.6788455518046976,0.0
300.313375719364,1.5527769872583207e-14,0.0
299.5809232133068,0.6788455518047845,0.0
298.84807771006285,1.3572668268793016,0.0
298.11483774230237,2.0352617433637588,0.0
297.38120183140245,2.7128282029010227,0.0
296.64716848874576,3.3899640891666163,0.0
295.91273621535896,4.066667267933667,0.0
295.1779035018257,4.742935586879132,0.0
294.44266882820057,5.418766875387143,0.0
293.7070306639206,6.0941589443497035,0.0
292.97098746771655,6.769109585965176,0.0
292.23453768752336,7.443616573532892,0.0
291.4976797603891,8.11767766124633,0.0
290.76041211238373,8.791290583982402,0.0
290.02273315850675,9.46445305708797,0.0
289.28464130259283,10.137162776164107,0.0
288.54613493721865,10.80941741684632,0.0
287.80721244360615,11.48121463458283,0.0
287.0678721915274,12.152552064408397,0.0
286.32811253920624,12.82342732071615,0.0
285.5879318332203,13.493837997026015,0.0
284.8473284084015,14.163781665749205,0.0
284.1063005877354,14.833255877950048,0.0
283.36484668226024,15.50225816310405,0.0
282.6229649909634,16.17078602885281,0.0
281.88065380067883,16.83883696075526,0.0
281.1379113859817,17.50640842203525,0.0
280.3947360090826,18.173497853325845,0.0
279.6511259197209,18.84010267240937,0.0
278.9070793550564,19.506220273954625,0.0
278.1625945395603,20.17184802924893,0.0
277.4176696849049,20.83698328592787,0.0
276.6723029898521,21.501623367699683,0.0
275.9264926401406,22.165765574066583,0.0
275.18023680837234,22.829407180041574,0.0
274.43353365389714,23.492545435860926,0.0
273.68638132269655,24.155177566692924,0.0
272.9387779472665,24.817300772342087,0.0
272.19072164649833,25.478912226948616,0.0
271.4422105255592,26.14000907868395,0.0
270.6932426757702,26.80058844944146,0.0
269.94381617362694,27.460647435277235,0.0
269.1939290839133,28.120183103240358,0.0
268.4435794549704,28.77919249510683,0.0
267.69276532149206,29.437672624476676,0.0
266.94148470369987,30.09562047705466,0.0
266.1897356072133,30.753033010313082,0.0
265.43751602292014,31.409907153147337,0.0
264.68482392684336,32.06623980552791,0.0
263.9316572800081,32.722027838145955,0.0
263.1780140283069,33.3772680920542,0.0
262.42389210236297,34.031957378301804,0.0
261.6692894173929,34.68609247756355,0.0
260.91420387306687,35.339670139763605,0.0
260.158633353368,35.99268708369345,0.0
259.4025757264503,36.64513999662304,0.0
258.64602884449465,37.29702553390724,0.0
257.8889905435633,37.94834031858469,0.0
257.13145864345324,38.599080940971405,0.0
256.3734309475474,39.24924395824718,0.0
255.61490524266497,39.89882589403594,0.0
254.85587929890892,40.547823237979344,0.0
254.09635086951346,41.19623244530314,0.0
253.33631769068847,41.84404993637729,0.0
252.57577748146315,42.49127209626825,0.0
251.81472794352754,43.13789527428476,0.0
251.0531667610722,43.783915783515795,0.0
250.291091600627,44.42932990036123,0.0
249.52850011089694,45.07413386405479,0.0
248.76538992259748,45.7183238761793,0.0
248.00175864828708,46.361896100173546,0.0
247.23760388219804,47.00484666083233,0.0
246.47292320006684,47.64717164379631,0.0
245.7077141589607,48.28886709503522,0.0
244.94197429710337,48.929929020321595,0.0
244.17570113370073,49.570353384696844,0.0
243.40889216876457,50.21013611193135,0.0
242.64154488293548,50.84927308397467,0.0
241.8736567373051,51.4877601403977,0.0
241.10522517323466,52.12559307782446,0.0
240.336247612173,52.7627676493557,0.0
239.5667214554722,53.39927956398152,0.0
238.79664408420138,54.035124485985264,0.0
238.02601285895855,54.67029803433623,0.0
237.2548251196809,55.304795782072695,0.0
236.4830781854523,55.93861325567478,0.0
235.71076935431063,56.57174593442547,0.0
234.9378959030505,57.204189249761974,0.0
234.16445508702657,57.83593858461509,0.0
233.39044413995333,58.46698927273767,0.0
232.61586027370345,59.097336598020746,0.0
231.84070067810424,59.726975793798935,0.0
231.0649625207315,60.35590204214269,0.0
230.28864294670169,60.98411047313883,0.0
229.5117390784624,61.61159616415817,0.0
228.73424801558053,62.23835413911022,0.0
227.95616683452755,62.86437936768503,0.0
227.1774925884644,63.489666764581465,0.0
226.3982223070225,64.11421118872173,0.0
225.61835299608413,64.73800744245193,0.0
224.8378816375594,65.36105027072837,0.0
224.05680518916284,65.98333436028908,0.0
223.27512058418563,66.60485433881092,0.0
222.49282473126755,67.22560477405085,0.0
221.70991451416612,67.84558017297202,0.0
220.9263867915231,68.46477498085409,0.0
220.14223839663015,69.08318358038673,0.0
219.3574661371909,69.70080029074718,0.0
218.57206679508195,70.31761936666067,0.0
217.78603712611095,70.93363499744335,0.0
216.99937385977304,71.54884130602758,0.0
216.21207369900517,72.16323234796945,0.0
215.42413331993797,72.77680211043749,0.0
214.63554937164545,73.38954451118238,0.0
213.84631847589304,74.0014533974879,0.0
213.05643722688325,74.61252254510165,0.0
212.26590219099847,75.22274565714584,0.0
211.47470990654347,75.8321163630073,0.0
210.68285688348422,76.44062821720635,0.0
209.8903396031845,77.04827469824478,0.0
209.09715451814236,77.65504920743042,0.0
208.3032980517224,78.2609450676807,0.0
207.50876659788716,78.86595552230214,0.0
206.71355652092626,79.47007373374662,0.0
205.9176641551834,80.07329278234329,0.0
205.12108580478255,80.67560566500596,0.0
204.32381774334974,81.27700529391569,0.0
203.52585621373595,81.87748449517636,0.0
202.72719742773603,82.47703600744521,0.0
